TraceId: ] 2023-10-05 17:21:21.706 [main] INFO  com.hqx.weblog.web.WeblogWebApplication - Starting WeblogWebApplication using Java 1.8.0_152 on DESKTOP-EP4947T with PID 25224 (D:\code\myprojects\weblog-springboot\weblog-web\target\classes started by hqx in D:\code\myprojects\weblog-springboot)
TraceId: ] 2023-10-05 17:21:21.708 [main] INFO  com.hqx.weblog.web.WeblogWebApplication - The following profiles are active: prod
TraceId: ] 2023-10-05 17:21:22.450 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
TraceId: ] 2023-10-05 17:21:22.450 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.26] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
TraceId: ] 2023-10-05 17:21:22.450 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
TraceId: ] 2023-10-05 17:21:22.451 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
TraceId: ] 2023-10-05 17:21:22.451 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
TraceId: ] 2023-10-05 17:21:22.453 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
TraceId: ] 2023-10-05 17:21:22.458 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
TraceId: ] 2023-10-05 17:21:22.459 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
TraceId: ] 2023-10-05 17:21:22.504 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
TraceId: ] 2023-10-05 17:21:22.504 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 756 ms
TraceId: ] 2023-10-05 17:21:22.769 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
TraceId: ] 2023-10-05 17:21:22.776 [main] INFO  com.hqx.weblog.web.WeblogWebApplication - Started WeblogWebApplication in 1.49 seconds (JVM running for 2.723)
TraceId: ] 2023-10-05 17:23:10.555 [http-nio-8080-exec-5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
TraceId: ] 2023-10-05 17:23:10.555 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
TraceId: ] 2023-10-05 17:23:10.556 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
TraceId: ] 2023-10-05 17:25:46.823 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value<EOL> at [Source: (PushbackInputStream); line: 3, column: 12] (through reference chain: com.hqx.weblog.web.model.User["sex"])]
TraceId: ] 2023-10-05 17:27:22.776 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value<EOL> at [Source: (PushbackInputStream); line: 3, column: 12] (through reference chain: com.hqx.weblog.web.model.User["sex"])]
TraceId: ] 2023-10-05 17:29:38.625 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.lang.Integer` from String "男": not a valid `java.lang.Integer` value<EOL> at [Source: (PushbackInputStream); line: 3, column: 12] (through reference chain: com.hqx.weblog.web.model.User["sex"])]
TraceId: ee867dbc-7324-4789-bb02-369fa9d51b4a] 2023-10-05 17:30:21.070 [http-nio-8080-exec-8] INFO  com.hqx.weblog.common.aspect.ApiOperationLogAspect - ====== 请求开始：[测试接口], 入参：{"username":"hhhhh","sex":1} , 请求类：TestController，请求方法：test ============================
TraceId: ee867dbc-7324-4789-bb02-369fa9d51b4a] 2023-10-05 17:30:21.078 [http-nio-8080-exec-8] INFO  com.hqx.weblog.common.aspect.ApiOperationLogAspect - ===== 请求结束：[测试接口]，耗时：15ms，出参：{"username":"hhhhh","sex":1} ==========================================
TraceId: aa2011d7-4e24-4f66-840f-acd7c5bc5f5e] 2023-10-05 17:31:04.030 [http-nio-8080-exec-9] INFO  com.hqx.weblog.common.aspect.ApiOperationLogAspect - ====== 请求开始：[测试接口], 入参：{"username":"hhhhh","sex":1} , 请求类：TestController，请求方法：test ============================
TraceId: aa2011d7-4e24-4f66-840f-acd7c5bc5f5e] 2023-10-05 17:31:04.030 [http-nio-8080-exec-9] INFO  com.hqx.weblog.common.aspect.ApiOperationLogAspect - ===== 请求结束：[测试接口]，耗时：0ms，出参：{"username":"hhhhh","sex":1} ==========================================
